Crse Descr,SUBJECT,Catalog Nbr,Class Instr Name,Class Nbr,Facility ID,Facility Descr,Meeting Start Dt,MEETING_END_DT,Meeting Time Start,Meeting Time End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,Class Mtg Nbr
Intro to Philosophy,PHL,101,"Gawel, Lisa",07,NR CARM,NR CARM,01/08/2025,04/22/2025,07:40AM,08:55AM,,X,,X,,,,
Intro to Cultural Anthropology,ANT,100,"Vannier, Christian",02,NR CHS,NR CHS,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Intro to Public Speaking,COM,210,"Schrader, Brian",02,NR CHS,NR CHS,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Critical Writing & Reading,ENG,112,"Wilhelm, Stephanie",06,NR CHS,NR CHS,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Critical Writing & Reading,ENG,112,"Wilhelm, Stephanie",07,NR CHS,NR CHS,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Intro to Philosophy,PHL,101,"Zuehlke, Joel",01,NR CHS,NR CHS,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Renaissance-Modern Art History,ARH,112,"Sikarskie, Amanda",02,NR FIA,NR FIA,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Painting Processes,ART,263,"Dubrovich, Alla",01,NR FIA,NR FIA,01/08/2025,04/22/2025,11:00AM,01:45PM,X,,X,,,,,
Watercolor,ART,360,"Dubrovich, Alla",01,NR FIA,NR FIA,01/08/2025,04/22/2025,02:30PM,05:15PM,X,,X,,,,,
Intro to Public Speaking,COM,210,"Keller, Jenell",04,NR GBHS,NR GBHS,01/08/2025,04/22/2025,10:00AM,11:15AM,,X,,X,,,,
Intro to Public Speaking,COM,210,"Laux, Kimberly",05,NR GBHS,NR GBHS,01/08/2025,04/22/2025,12:15PM,01:30PM,,X,,X,,,,
Prin of Econ (Macro-Econ),ECN,201,"Lange, Eion",02,NR GBHS,NR GBHS,01/08/2025,04/22/2025,10:00AM,11:15AM,X,,X,,,,,
Prin of Econ (Macro-Econ),ECN,201,"Enajero, Samuel",03,NR GBHS,NR GBHS,01/08/2025,04/22/2025,12:15PM,01:30PM,X,,X,,,,,
College Rhetoric,ENG,111,"Booms, Stephanie",03,NR GBHS,NR GBHS,01/08/2025,04/22/2025,10:00AM,11:15AM,,X,,X,,,,
College Rhetoric,ENG,111,"Booms, Stephanie",04,NR GBHS,NR GBHS,01/08/2025,04/22/2025,12:15PM,01:30PM,,X,,X,,,,
Intro to Philosophy,PHL,101,"Gawel, Lisa",05,NR GBHS,NR GBHS,01/08/2025,04/22/2025,10:00AM,11:15AM,X,,X,,,,,
Intro to Philosophy,PHL,101,"Gawel, Lisa",06,NR GBHS,NR GBHS,01/08/2025,04/22/2025,12:15PM,01:30PM,X,,X,,,,,
Medical-Surgical Nursing I,NUR,250,"Parker, Jessica",02,NR GENY,NR GENY,01/08/2025,04/22/2025,07:00AM,03:30PM,X,,,,,,,
Genetics,BIO,328,"Slater, Jill",02,NR HESC,NR HESC,01/08/2025,04/22/2025,12:20PM,02:05PM,,X,,X,X,,,
Prin of Econ (Micro-Econ),ECN,202,"Lange, Eion",02,NR HESC,NR HESC,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Twentieth Century World Hist,HIS,114,"Havrilcsak, Gregory",01,NR HESC,NR HESC,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Intro to Logic,PHL,202,"Wandmacher, Stevens",01,NR HESC,NR HESC,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
U.S. Nat Govt & Politics,POL,120,"Faehner, David",01,NR HESC,NR HESC,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Prob Solving & Programming II,CSC,275,"McBride, Brian",03,NR HHS,NR HHS,01/08/2025,04/22/2025,12:30PM,02:10PM,,X,,X,,,,
Computer-Aided Design,EGR,165,"Lucas, Laura",01,NR HHS,NR HHS,01/08/2025,04/22/2025,12:30PM,02:10PM,X,,X,,,,,
Medical-Surgical Nursing I,NUR,250,"Parker, Jessica",03,NR HUR,NR HUR,01/08/2025,04/22/2025,02:30PM,11:30PM,X,,,,,,,
Intro to Human Communication,COM,200,"Lake, Daniel",04,NR KHS,NR KHS,01/08/2025,04/22/2025,07:40AM,08:55AM,X,,X,,,,,
Genetics,BIO,328,"Cossaboom, Russell",01,NR LETC,NR LETC,01/08/2025,04/22/2025,09:00AM,10:35AM,,X,,X,X,,,
Prob Solving & Programming II,CSC,275,"McBride, Brian",02,NR LETC,NR LETC,01/08/2025,04/22/2025,09:00AM,10:40AM,X,,X,,,,,
Computer-Aided Design,EGR,165,"Lucas, Laura",03,NR LETC,NR LETC,01/08/2025,04/22/2025,08:25AM,10:10AM,,X,,X,,,,
Philosophy of Bioethics,PHL,168,"Zuehlke, Joel",01,NR LETC,NR LETC,01/08/2025,04/22/2025,09:00AM,10:30AM,X,,X,,,,,
Beginning Standard Arabic II,ARB,112,"Daassa, Mohamed",01,NR MCC,NR MCC,01/08/2025,04/22/2025,10:00AM,11:50AM,X,,X,,,,,
Beginning Standard Arabic II,ARB,112,"Daassa, Mohamed",02,NR MCC,NR MCC,01/08/2025,04/22/2025,02:00PM,03:50PM,,X,,X,,,,
Intermed Acctg II (Corp Accts),ACC,322,"Sabolish, Jeffrey",F1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Auditing,ACC,424,"Novak, Lisa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Accounting for Managers,ACC,521,"Bohanon, Michael",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
History of Contemporary Art,ADM,511,"Hess, Gerald",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Origins of Modern Racism,AFA,203,"Hatfield-Myers, Cody",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
His of Ethnicity & Race in US,AFA,334,"Daassa, Mohamed",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Financial Mgt in Nurse Ane,ANE,677,"Pemberton, Caitlin",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Medical Writing,ANE,699,"Messina, Rachael",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prof Asp of ANE Practice I,ANE,721,"Messina, Rachael",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Cultural Anthropology,ANT,100,"Vannier, Christian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Renaissance-Modern Art History,ARH,112,"Hess, Gerald",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,X,,X,,,,,
History of Photo and New Media,ARH,215,"Zeiss, Rebecca",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Advanced Topics in Art History,ARH,399,"Johnson, Linda",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
History of Contemporary Art,ARH,411,"Hess, Gerald",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Ethics & Bias in AI,ARI,515,"Khalsi Ep Yousaf, Rania",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to the Visual Art,ART,120,"Stevens, Holly",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to the Visual Art,ART,120,"Stevens, Holly",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to the Visual Art,ART,120,"Stevens, Holly",W4,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Intro to the Visual Art,ART,120,"Zeiss, Rebecca",W5,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Fundamentals Of Stage Makeup,ART,251,"Borton, Lisa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Introduction To Theatre Design,ART,271,"Borton, Lisa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Astronomy of the Solar System,AST,131,"Stark, Michele",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Applied Science Senior Seminar,BAS,498,"Spivack, Shelley",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Business Concepts and Careers,BUS,110,"Lake, Daniel",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Business Concepts and Careers,BUS,110,"Lake, Daniel",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Business Concepts and Careers,BUS,110,"Tuttle, Dale",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Business Applications,BUS,115,"Charara, Zaher",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Contemp Legal Issues for BUS,BUS,250,"Witt, Michael",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Special Topics Seminar,BUS,499,"Knesek, Gerald",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Special Topics Seminar,BUS,499,"Knesek, Gerald",W4,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Crisis Intervention,CDR,330,"Hilliker, Bernadette",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Chemistry and Society,CHM,135,"Morcos, Tayseer",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Comp Info Sys I,CIS,128,"Galerneau, Quentin",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Database Management Software,CIS,152,"Neji, Sana",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Intro to Digital Culture,COM,170,"Silva, Michelle",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Human Communication,COM,200,"Silva, Michelle",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Human Communication,COM,200,"Silva, Michelle",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Human Communication,COM,200,"Schrader, Brian",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Argumentation & Debate,COM,204,"Schrader, Brian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Public Speaking,COM,210,"Schrader, Brian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Ethical Issues - Communication,COM,301,"Schrader, Brian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Communications in Business,COM,338,"Linden, David",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Communications in Business,COM,338,"Wilhelm, Stephanie",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to the Criminal Justice,CRJ,185,"Jansen, Kenneth",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Special Topics in CRJ,CRJ,398,"Spivack, Shelley",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Programming,CSC,122,"Galerneau, Quentin",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Fundamentals of Unix/Linux,CSC,137,"Galerneau, Quentin",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Data Visualization,CSC,302,"Price, Todd",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Intro to Data Visualization,CSC,302,"Price, Todd",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Computer Architecture,CSC,365,"McBride, Brian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Advanced Software Engineering,CSC,580,"Hart, John",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Security Fundamentals II,CYB,202,"Hart, John",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Enterprise and Cloud Security,CYB,301,"Price, Todd",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Wireless & Mobile Systems Sec,CYB,330,"Neji, Sana",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Digital Forensics,CYB,386,"Price, Todd",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Computer and Network Forensics,CYB,586,"Price, Todd",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Dance and Soc Justice,DAN,100,"Freiman, Beth",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Dance and Soc Justice,DAN,100,"Freiman, Beth",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Culture of Hip Hop Dance,DAN,151,"Freiman, Beth",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Culture of Hip Hop Dance,DAN,151,"Davis, Emma",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Working with Families,ECE,235,"Tinholt, Winona",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Integ Curr for Children I,ECE,342,"Tinholt, Winona",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Assessment in ECE,ECE,440,"Ramos, Jodi",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prin of Econ (Macro-Econ),ECN,201,"Schultes, Karen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prin of Econ (Macro-Econ),ECN,201,"Schultes, Karen",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prin of Econ (Macro-Econ),ECN,201,"DeFrance, William",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prin of Econ (Macro-Econ),ECN,201,"DeFrance, William",W4,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Prin of Econ (Macro-Econ),ECN,201,"DeFrance, William",W5,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Prin of Econ (Micro-Econ),ECN,202,"Nas, Paula",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prin of Econ (Micro-Econ),ECN,202,"Schultes, Karen",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prin of Econ (Micro-Econ),ECN,202,"Schultes, Karen",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Prin of Econ (Micro-Econ),ECN,202,"Derbin, Edward",W5,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Prin of Econ (Micro-Econ),ECN,202,"Derbin, Edward",W6,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Intermediate Macroeconomic Thr,ECN,354,"Derbin, Edward",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Inst. Supervision & PLC,EDL,501,"Kennedy, Sheryl",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Schools & Communities,EDL,502,"Cook, Michele",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Ed Policy & Org Change,EDL,504,"Kennedy, Sheryl",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Clinical Prac in School Admin,EDL,690,"Vergon, Charles",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
School Reform & Comm Partners,EDL,702,"DeFrance, William",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Adv Supervision & Hmn Rsc. Mgt,EDL,752,"Grace, Shamarion",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Practicum II,EDL,762,"Tunnicliff, Steven",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Capstone Seminar,EDL,790,"Cook, Michele",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,08:00AM,12:00PM,,,,,,X,,
Ed Policy & School Reform,EDL,801,"Tunnicliff, Steven",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Quantitative Rsch Mthd,EDL,871,"Bedell, Karen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Probl Solving/College Students,EDM,100,"Kalfayan, Raena",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Probl Solving/College Students,EDM,100,"Robertson, Brian",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Probl Solving/College Students,EDM,100,"Kalfayan, Raena",W3,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Bldg Sust Comm: Tchng&SWK,EHS,220,"Macias, Laura",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Entrepreneurship,EIM,240,"Fields, Rita",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Intro to Entrepreneurship,EIM,240,"Fields, Rita",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
College Rhetoric,ENG,111,"Akers-Jordan, Cathy",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
College Rhetoric,ENG,111,"Booms, Stephanie",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
College Rhetoric,ENG,111,"Clark, Jay",W4,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
College Rhetoric,ENG,111,"Martelle, Katie",W5,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Critical Writing & Reading,ENG,112,"Akers-Jordan, Cathy",W4,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Critical Writing & Reading,ENG,112,"Larsen Jr, Dave",W5,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Critical Writing & Reading,ENG,112,"Akers-Jordan, Cathy",W6,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Critical Writing & Reading,ENG,112,"Clark, Jay",W7,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Critical Writing & Reading,ENG,112,"Akers-Jordan, Cathy",W8,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Critical Writing & Reading,ENG,112,"Atkinson, Scott",W9,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Reading Scifi/Fantasy,ENG,156,"Martelle, Katie",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Advanced Composition,ENG,252,"Wiess, Janelle",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Communications in Business,ENG,338,"Wilhelm, Stephanie",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Technical Writing,ENG,345,"Wiess, Janelle",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Technical Writing,ENG,345,"Wiess, Janelle",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Env. Science,ESS,100,"Green, Garry",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Intro to Env. Science,ESS,100,"Green, Garry",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Great Lakes Geography Geology,ESS,151,"Green, Garry",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Personal Finance,FIN,269,"Stephens, John",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Fin Mgt Application & Strategy,FIN,461,"Stephens, John",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Physical Fitness,HCR,101,"Eisenbeis, Helen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Basic Stress Mgt & Relaxation,HCR,107,"Shewalter, Amber",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Enhancd Mindflness/Stress Mgmt,HCR,117,"Landis, Theresa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Health Careers,HCR,201,"Eisenbeis, Helen",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Personal Health,HCR,203,"Hilliker, Laurel",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Health Care in the US,HCR,212,"Hilliker, Laurel",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Health Care in the US,HCR,212,"Hilliker, Laurel",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Health Care in the US,HCR,212,"Brennan, Molly",W4,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Intro to Hlth Info Sys for Adm,HCR,301,"Stafford, Leigh-Anne",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Intro to Hlth Info Sys for Adm,HCR,301,"Stafford, Leigh-Anne",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
The Ethics Of Health Care,HCR,304,"Brennan, Molly",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
The Ethics Of Health Care,HCR,304,"Trevithick, Bruce",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
The Ethics Of Health Care,HCR,304,"Trevithick, Bruce",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Cultural Competen in Hlth Care,HCR,362,"Tyus, Janee",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Cultural Competen in Hlth Care,HCR,362,"Tyus, Janee",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Cultural Competen in Hlth Care,HCR,362,"Tyus, Janee",W3,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Health Care Administration,HCR,376,"Drautz, Anthony",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Health Care Administration,HCR,376,"Drautz, Anthony",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Health Care Program Evaluation,HCR,385,"Brennan, Molly",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Health Care Program Evaluation,HCR,385,"Chanter, Carrie",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Healthcare Strategic Planning,HCR,410,"Trevithick, Bruce",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Econ Appl in Hlth Admnstration,HCR,411,"Brennan, Molly",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Econ Appl in Hlth Admnstration,HCR,511,"Brennan, Molly",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
"HCS Fac, Deb, Eval",HCS,502,"Bethke, Renay",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Eval of Health Edu and Promo,HED,546,"Brennan, Molly",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Eval of Health Edu and Promo,HED,546,"Chanter, Carrie",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
World History to 1400,HIS,112,"Havrilcsak, Gregory",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Islam & Middle East,HIS,283,"Daassa, Mohamed",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
His of Ethnicity & Race in US,HIS,334,"Daassa, Mohamed",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Hist of Ethnicity & Race in US,HIS,534,"Daassa, Mohamed",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Families Communities Partners,IES,335,"Tinholt, Winona",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
International Business,INB,385,"Lukoianove, Tatiana",F1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
International Business,INB,385,"Lukoianove, Tatiana",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
International Business,INB,385,"Lukoianove, Tatiana",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
International Management,INB,442,"Lukoianove, Tatiana",F1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Cultural Anthropology,INT,100,"Vannier, Christian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
World History to 1400,INT,112,"Havrilcsak, Gregory",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Human Behavior in Organization,MGT,341,"Wittenbaum, Gwen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Human Behavior in Organization,MGT,341,"Cameron, Elizabeth",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Human Behavior in Organization,MGT,341,"Cameron, Elizabeth",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Managing Projects & Teams,MGT,347,"Fields, Rita",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Managing Projects & Teams,MGT,347,"Fields, Rita",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Human Resource Development,MGT,445,"Fields, Rita",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Leadershp & Chng Mngmt,MGT,449,"Cameron, Elizabeth",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Organizational Behavior,MGT,541,"Fields, Rita",F1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Esports Business,MKT,334,"Sobczyk, Benjamin",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Liberal Arts Mathematics,MTH,105,"Robertson, Brian",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Liberal Arts Mathematics,MTH,105,"Robertson, Brian",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
